,average,average,average,average,average,average,average,average,average,average,average,average,max,max,max,max,max,max,max,max,max,max,max,max,min,min,min,min,min,min,min,min,min,min,min,min
node_id,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0
measurement_bucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28 11:45:00+00:00,3067.072033898305,2790.266666666667,3799.673333333333,3622.4853801169593,39.954802259887,66.72222222222223,-0.18110236220472442,0.174496644295302,9.547443365695798,8.326018348623851,42.57142857142857,38.5,5002.0,5004.0,148368.0,55640.0,164.0,176.0,49.0,38.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.0,-43.0,0.0,0.0,42.0,38.0
2023-03-28 13:15:00+00:00,3062.3650190114067,2896.557926829268,3350.074074074074,5142.722929936306,47.34177215189873,66.79012345679013,-0.7439446366782007,0.19855595667870035,8.869783132530122,8.933333333333337,40.6,37.0,5001.0,5013.0,119571.0,288555.0,164.0,176.0,28.0,45.0,39.024,30.032,41.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,-43.0,0.0,0.0,40.0,37.0
2023-03-28 14:00:00+00:00,3204.6006711409395,2764.4262295081967,4552.511904761905,4622.5,36.22274881516588,63.433526011560694,-0.27575757575757576,1.5284090909090908,9.40236228287841,7.696650406504062,42.5,38.4,5002.0,5013.0,192857.0,40000.0,164.0,176.0,41.0,46.0,39.056,30.016,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,-11.0,0.0,0.0,42.0,38.0
2023-03-28 14:15:00+00:00,2958.882575757576,2908.7770897832816,3060.4010695187167,3694.8451612903227,46.08163265306123,68.06148867313915,-0.5641025641025641,-0.3003533568904594,8.610876404494377,8.963353535353532,42.57142857142857,38.5,5001.0,5007.0,100286.0,169714.0,164.0,176.0,26.0,48.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,-45.0,0.0,0.0,42.0,38.0
2023-03-28 20:15:00+00:00,2953.890410958904,1565.6333333333334,6390.022727272727,3711.222222222222,44.925925925925924,64.66666666666667,1.0,-0.39436619718309857,11.090042553191497,1.9374222222222224,42.55555555555556,38.5,5002.0,4003.0,146571.0,40000.0,163.0,176.0,44.0,3.0,39.024,5.52,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,-3.0,0.0,0.0,42.0,38.0
2023-03-28 20:30:00+00:00,3079.022099447514,3052.880530973451,2578.1162790697676,4283.680555555556,43.41059602649007,69.60185185185185,-0.30092592592592593,0.5116279069767442,8.886310756972117,9.554948805460748,42.42857142857143,38.666666666666664,5001.0,5012.0,40000.0,77143.0,164.0,176.0,48.0,44.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,-42.0,0.0,0.0,42.0,38.0
2023-03-28 20:45:00+00:00,3093.1070234113713,2848.4137931034484,2318.8137254901962,6251.065891472868,37.90530303030303,65.00840336134453,-0.392226148409894,0.47435897435897434,8.670412213740455,8.268519480519483,42.666666666666664,38.5,5001.0,5004.0,40000.0,216000.0,164.0,176.0,47.0,44.0,39.024,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,-43.0,0.0,0.0,42.0,38.0
2023-03-29 00:30:00+00:00,3158.8571428571427,3028.957055214724,2607.782608695652,3739.8456375838928,40.56962025316456,65.39024390243902,-0.8341232227488151,0.23728813559322035,9.074567901234573,8.715473170731704,43.0,38.0,5001.0,5010.0,138857.0,57214.0,164.0,176.0,4.0,36.0,39.024,30.032,43.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-39.0,0.0,0.0,43.0,38.0
