,average,average,average,average,average,average,average,average,average,average,average,average,max,max,max,max,max,max,max,max,max,max,max,max,min,min,min,min,min,min,min,min,min,min,min,min
node_id,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0,01 Speed S P1,02 Speed S P2,03 Feed Rate P1,04 Feed Rate P2,05 Spindle Motor Load nakamura2 P1 S0,06 Spindle Motor Load nakamura2 P2 S0,24 Servo load current(a) Nakamura2 P1 A1,28 Servo load current(a) Nakamura2 P2 A1,31 Cutting time nakamura2 P1,32 Cutting Time nakamura2 P2,33 Temp #APC Nakamura2 P1 A0,34 Temp #APC Nakamura2 P2 A0
measurement_bucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28 10:00:00+00:00,3129.2680412371133,2873.2554347826085,5330.830645161291,3844.327044025157,37.6078431372549,66.7452229299363,-0.6666666666666666,-0.030456852791878174,9.350413502109706,8.486953271028037,42.44444444444444,,5001.0,5004.0,108000.0,40000.0,164.0,176.0,37.0,38.0,39.056,30.032,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,-39.0,-44.0,0.0,0.0,42.0,
2023-03-28 10:15:00+00:00,2875.9380952380952,3088.830115830116,4077.5307692307692,3924.8938053097345,38.70520231213873,67.30212765957447,-0.5728155339805825,1.2178988326848248,8.98819047619048,9.046038709677418,42.5,,5001.0,5010.0,40000.0,40000.0,164.0,176.0,48.0,49.0,39.056,30.032,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,-53.0,-39.0,0.0,0.0,42.0,
2023-03-28 10:30:00+00:00,3036.002865329513,2857.7023809523807,4208.886255924171,3671.992366412214,37.68840579710145,65.50214592274678,-0.562111801242236,0.5,9.705413870246085,8.2658064516129,42.5,,5001.0,5004.0,177429.0,40000.0,164.0,176.0,47.0,41.0,39.024,30.032,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,-50.0,0.0,0.0,42.0,
2023-03-28 10:45:00+00:00,2872.9866071428573,2919.5669515669515,3609.950310559006,3829.6604938271603,39.27368421052632,66.34640522875817,-0.7580645161290323,-0.1413427561837456,8.153198606271776,8.541552941176473,42.57142857142857,,5002.0,5009.0,40000.0,40000.0,164.0,176.0,45.0,33.0,39.056,30.032,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,-47.0,-50.0,0.0,0.0,42.0,
2023-03-28 11:00:00+00:00,3033.6359832635985,2755.2445652173915,2918.2576687116566,3158.6,41.4,68.23353293413173,0.6136363636363636,0.7799043062200957,8.837565217391294,8.432146788990824,42.42857142857143,,5001.0,5004.0,96429.0,40000.0,164.0,176.0,49.0,49.0,39.056,30.016,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,-44.0,0.0,0.0,42.0,
2023-03-28 11:15:00+00:00,2985.8490566037735,2817.905982905983,2705.169154228856,6690.377272727273,35.04489795918367,67.16509433962264,-0.13595166163141995,0.3118811881188119,9.552341232227489,8.041654237288137,42.5,,5002.0,5006.0,46286.0,216000.0,164.0,176.0,49.0,49.0,39.056,30.032,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,-42.0,0.0,0.0,42.0,
2023-03-28 11:30:00+00:00,3045.3275862068967,2910.255319148936,2921.589108910891,3800.731617647059,41.851851851851855,65.6231343283582,-0.5303514376996805,0.007722007722007722,9.082864197530863,8.748216524216518,42.5,,5001.0,5009.0,40000.0,40000.0,164.0,176.0,52.0,44.0,39.056,30.032,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,-49.0,0.0,0.0,42.0,
2023-03-28 11:45:00+00:00,3067.072033898305,2790.266666666667,3799.673333333333,3622.4853801169593,39.954802259887,66.72222222222223,-0.18110236220472442,0.174496644295302,9.547443365695798,8.326018348623851,42.57142857142857,38.5,5002.0,5004.0,148368.0,55640.0,164.0,176.0,49.0,38.0,39.056,30.032,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.0,-43.0,0.0,0.0,42.0,38.0
